Time,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,VelocityAV1,Acceleration1,Acceleration2,Acceleration3,Acceleration4,Acceleration5,AccelerationAV1,Headway1,Headway2,Headway3,Headway4,Headway5,HeadwayAV1
0.0,10.06,29.88,29.999181678204163,29.999181678204163,0.06,29.99,3,-6,-0.040916089791833345,-0.040916089791833345,3,-0.5,645,45,95,95,35,145
0.5,11.560000000000013,26.879999999999974,29.978723633308242,29.978723633308242,1.560000000000001,29.75624658660777,3,-6,-0.040916089791833345,-0.040916089791833345,3,-0.4465576347429635,639.6100000000001,36.16999999999996,94.22531909167293,94.99999999999994,49.54670504337513,145.05797586495197
1.0,13.060000000000025,23.935709702960697,29.83820051724744,29.95785970080159,3.0600000000000023,29.54328041966317,3,-3.21451485196269,-3.044169648035848,-0.040752425432665974,3,-0.40934593087939886,633.47,29.590000000000032,91.96206720579369,94.99880818321796,63.23287162173236,145.21625298925588
1.5,14.560000000000038,22.49942029102964,28.15958190788865,29.938547306419842,4.56,29.2805631990828,3,-2.508459896044484,-3.6507401293409374,-0.036660816453482424,3,-0.5090408960267638,626.5800000000002,24.871670155115964,89.04154099032797,94.55345447328537,76.05354157555632,145.47979280571428
2.0,16.06000000000005,21.46380540258141,26.286337856423977,29.830465782882662,6.05999999999999,29.00673120819716,3,-2.9322325752472587,-1.3305597254708106,-1.5700623337799784,3,-0.5480255586006177,618.94,21.524465359507474,86.41217921480603,93.20677777966921,87.98785436045156,145.86872328556566
2.5,17.560000000000016,20.059301903983094,25.855698130549264,28.88226512143657,7.55999999999998,28.69960632268218,3,-2.718348251689957,-0.374416842204224,-2.2121587569363714,3,-0.6061692566356325,610.55,19.52407023473296,83.78276917722377,91.52553026356162,99.02799492381654,146.1396354006651
3.0,19.01971200000001,18.730176679138754,25.90553400026126,27.724077443052302,9.059999999999986,28.38287375440134,2.7879999999999905,-1.976078989008884,-1.319086083422714,-0.6161463893070097,3,-0.6419912763475857,601.414649568,18.952622894149386,80.5567741267921,90.3097352870073,109.16177829519663,146.01443982885465
3.5,20.335712000000004,17.909319926307464,25.106957333208577,27.67271545426191,10.559999999999999,28.13535522228514,2.487999999999997,-1.3154002522312203,-1.9268741728598446,0.44110246013389764,3,-0.6459360430378557,591.5827135679999,19.63024420794099,76.93721034936112,89.25604043058922,118.40668811063013,145.7071033334786
4.0,21.502803065600002,17.422233069163045,24.91659320256301,28.134108050378238,12.060000000000011,28.008323497666883,2.1960575999999983,-0.9981168067968955,-1.5400556114610975,-0.42189115271667116,3,-0.7724193425228031,581.1286816162559,21.258695585067038,73.30143754694507,87.77206415216858,126.79527022788184,145.62385087168155
4.5,22.5311518656,16.967554210589054,24.273431225934164,28.097226892457208,13.560000000000024,27.78826468290621,1.9328575999999993,-0.8543252514008044,-0.9816221433228599,0.964389875379523,3,0.006782159563590184,570.125014291456,23.66330934768196,69.60826716782645,86.04846792022124,134.35977559855937,145.68516567425505
5.0,23.43567711098879,16.5531968674371,23.859399773208654,28.1516949073093,15.060000000000036,27.859435946167586,1.6994393868799997,-0.6493617121202695,-1.3135957718091469,-1.0665807345137854,3,0.36136053538067237,558.6375102472311,26.767860988889876,65.94743820403919,83.99431164283857,141.1240299271898,145.8788489898114
5.5,24.230830250828788,16.306760293804576,23.131334302078844,27.94755930441806,16.56000000000003,28.087659347227035,1.4937696268800005,-0.3322801782415328,-1.6552757788559886,0.25552058442352865,3,0.37570520263390395,546.7245689646712,30.46996070072332,62.39612233289387,81.7684803152722,147.22978428899697,145.87108339744245
6.0,24.929711341002285,16.242624680155032,22.21013767221874,27.638029425699866,18.06,28.348975143878206,1.3128645778022419,-0.010800187629061542,-1.6180695435789856,-1.0302784824732365,3,0.7649600331787718,534.4376702414875,34.627035223965244,59.180487811120415,79.1960756930975,152.68427353656867,145.6944574937607
6.5,25.543942471930922,16.306484176094287,21.450000720733506,27.27251419845164,19.559999999999967,28.651940531010126,1.1538339498342425,0.24710155860216654,-1.370638396366462,-0.11997906606129416,3,0.1624341645243339,521.8221006969025,39.11132759828532,56.394331641959724,76.41254154561295,157.5470525324069,145.1426459848326
7.0,26.083767202933483,16.484828117880365,20.871496472540187,26.597430974316396,21.059999999999935,28.35341434570724,1.014057731799543,0.48998840984590786,-1.1804828231714777,-1.5945403680830121,3,-0.7690407544253463,508.9176724842014,43.82401230836893,54.00549026167863,73.4799669701004,161.69346198864253,144.3693959870082
7.5,26.558196369492773,16.801023193704037,20.30270505432206,25.714001936145287,22.559999999999903,27.93980733370323,0.8912115056138156,0.7678818729890978,-1.130178636525943,-2.110412363403474,3,-0.9311981651360448,495.75937798262856,48.6697871067909,52.0198195161856,70.6752303507754,164.88183544279195,143.39394960082763
8.0,26.975151428028532,17.263068658566347,19.720159248206848,24.984875005002298,24.05999999999987,27.511321097685123,0.7832465594133033,1.0515602257284908,-1.0704426797477853,-1.34542066045646,3,-0.7320767539770487,482.3779713307188,53.54607238985905,50.5134368477078,68.02594723682296,167.1009567601418,142.1956154347497
8.5,27.341594811047752,17.853130741954704,19.232218646052733,24.363107298399687,25.55999999999984,27.28147045220388,0.6883607261014455,1.2908382851339153,-0.8605523276152617,-1.0488830464502135,3,-0.27749999085854704,468.8004812199903,58.355383162923516,49.543016096608916,65.43016114382465,168.41278308235468,140.82817529429815
9.0,27.663645660431655,18.547330523550997,18.89251517130429,23.664692800832917,27.059999999999807,27.05647080864437,0.6049697143942936,1.4766431336080612,-0.5710470404064898,-1.4452503756628727,3,-0.594301511468131,455.0506620348627,63.01568363836006,49.10481697664287,62.93224832336455,168.8688204834521,139.25776854331798
9.5,27.946681864753874,19.324809234885873,18.670824460652018,22.923418742887552,28.555092544997137,26.782481016225393,0.5316810377904496,1.6197966719606258,-0.3379890757741655,-1.563454778156066,2.8660979753692986,-0.6354558857787328,441.149390467899,67.4596495574381,49.17393928855492,60.662259692009286,168.44135665040127,137.45345198191245
10.0,28.19542982433082,20.162551181976234,18.541294984174083,22.262544817060153,29.870699046810277,26.501403373670456,0.467270867913669,1.7157311251514238,-0.15717494203307258,-1.2394343342095997,2.3610579660622966,-0.47538213761305903,427.1150141226609,71.6326331985785,49.73424111198079,58.66924984823786,167.15842804156014,135.4281580747474
10.5,28.4140433661208,21.032559641898764,18.427013746679275,21.690461130173368,30.879635975738292,26.2517529620035,0.41066362704922527,1.7533384779379404,-1.0621826186367724,-1.0271065873133902,1.6880569130984782,-0.4419720269398378,412.96365789496986,75.49467200431612,599.2244254535515,56.937791909624785,165.15746851417015,133.22661527202126
11.0,28.60617310523487,21.90634857843286,17.91618927565491,21.150571588111262,31.48785864512909,26.01942663874353,0.36091403513383613,1.735443950231994,-0.9790589851258087,-1.0511060632698137,0.7820852616894814,-0.4984642646322873,398.70949324045984,79.02240367548985,590.1352634476933,55.30936077491816,162.62467718709337,130.8724503547984
