Time,AbsPos1,AbsPosAV1
0.0,300.6,50.6012
0.5,315.6000000000006,65.92604607092552
1.0,330.60000000000116,81.36511677531705
1.5,345.6000000000017,96.74360802654402
2.0,360.6000000000023,112.07173483056842
2.5,375.60000000000286,127.35642899103588
3.0,390.60000000000343,142.60293808412823
3.5,405.600000000004,157.8160591560314
4.0,420.60000000000457,173.00022392398995
4.5,435.60000000000514,188.15924274796535
5.0,450.6000000000057,203.29631404070648
5.5,465.6000000000063,218.41423242640388
6.0,480.60000000000684,233.51549619409482
6.5,495.6000000000074,248.60229163620767
7.0,510.600000000008,263.6760137793961
7.5,525.6000000000085,278.7374402698615
8.0,540.6000000000091,293.78818262150486
8.5,555.6000000000097,308.8296758946417
9.0,570.6000000000103,323.86315942214384
9.5,585.6000000000108,338.88973927240534
10.0,600.6000000000114,353.9103930131415
10.5,615.600000000012,368.9254704059098
11.0,630.6000000000125,383.93463859976686
11.5,645.6000000000131,398.9394189314987
12.0,660.6000000000137,413.94215568640783
12.5,675.6000000000142,428.94350096408493
13.0,690.6000000000148,443.94383361306205
13.5,705.6000000000154,458.94345078272755
14.0,720.6000000000159,473.9431647621964
14.5,735.6000000000165,488.943056953015
15.0,750.6000000000171,503.9430212671765
15.5,765.6000000000176,518.9430121333756
16.0,780.6000000000182,533.9430114727319
16.5,795.6000000000188,548.9430127782043
17.0,810.6000000000193,563.9430141126844
17.5,825.6000000000199,578.9430152735205
18.0,840.6000000000205,593.9430162848375
18.5,855.600000000021,608.9430171659374
19.0,870.6000000000216,623.943017933541
19.5,885.6000000000222,638.943018602265
20.0,900.6000000000228,653.943019185
20.5,915.6000000000233,668.943019695197
21.0,930.6000000000239,683.9430201423489
21.5,945.6000000000245,698.9430205342584
22.0,960.600000000025,713.9430208777509
22.5,975.6000000000256,728.9430211788084
23.0,990.6000000000262,743.9430214426732
23.5,1005.6000000000267,758.9430216739399
24.0,1020.6000000000273,773.943021876636
24.5,1035.6000000000256,788.9430220542909
25.0,1050.6000000000233,803.9430222099979
25.5,1065.600000000021,818.943022346469
26.0,1080.5997780030048,833.9430224562382
26.5,1095.5698413745909,848.9395878601154
27.0,1110.3513836835084,863.8981693432257
27.5,1124.6521239130964,878.7395716670147
28.0,1138.1251758741785,893.3572883743498
28.5,nan,907.6467689473486
29.0,nan,921.8128441385991
29.5,nan,936.0610391968589
30.0,nan,950.3835154709813
30.5,nan,964.197549992029
31.0,nan,978.647296038915
31.5,nan,993.1514092904483
32.0,nan,1007.7045180579302
32.5,nan,1022.3017813961443
33.0,nan,1036.93883666386
33.5,nan,1051.6117518775939
34.0,nan,1066.3067064519776
34.5,nan,1080.9174750416014
35.0,nan,1095.2093653264305
35.5,nan,1108.8880059542585
36.0,nan,1121.6856795641286
36.5,nan,1133.4289120229028
37.0,nan,1144.0667554149748
37.5,nan,nan
38.0,nan,nan
38.5,nan,nan
39.0,nan,nan
39.5,nan,nan
40.0,nan,nan
40.5,nan,nan
41.0,nan,nan
41.5,nan,nan
