Time,AbsPos1,AbsPos2,AbsPos3,AbsPos4
0.0,450.2012,400.5976,200.59998363356408,10.0012
0.5,455.62119999999993,414.75759999999997,215.59425538099327,10.421199999999999
1.0,461.7911999999999,427.4187141940591,230.57828180500428,11.5912
1.5,468.7111999999999,438.99831825070453,245.55210532739898,13.511200000000002
2.0,476.3811999999999,449.9648107485441,260.5131869616749,16.181199999999997
2.5,484.8012,460.3271158033467,275.19527562691036,19.60119999999999
3.0,493.965744672,470.00733107143344,289.32069967291227,23.771199999999983
3.5,503.82400067200007,479.1452286225852,303.14724575319394,28.69119999999998
4.0,514.3013744450561,487.9610674600603,317.10180326057093,34.36119999999998
4.5,525.325608745856,496.5510274450739,331.1168858106636,40.78119999999999
5.0,536.8312032949885,504.9256927012278,345.21591281514736,47.95120000000001
5.5,548.7600476403455,513.1316055404817,359.19981887252777,55.87120000000002
6.0,561.0609239853327,521.2601470281504,373.1114916188434,64.54120000000003
6.5,573.6887781525363,529.3927013883341,386.8051488012086,73.96120000000003
7.0,586.6040028598575,537.5880117697874,400.30480659513705,84.13119999999999
7.5,599.7717859447615,545.9068553744547,413.39006508234246,95.05119999999995
8.0,613.161531697842,554.4212176525936,426.03626969499146,106.7211999999999
8.5,626.7463506762305,563.2011982319254,438.3582205226206,119.14119999999981
9.0,640.5026108783458,572.3046009372488,450.3698828827865,132.31119999999976
9.5,654.4095431693959,581.7774561593609,462.01322936895644,146.23105421268488
10.0,668.4488944738257,591.6556037024005,473.2941126148831,160.8596895831706
10.5,682.6046229723527,601.9623212935526,484.27159185942725,176.0712915701471
11.0,696.8626302216448,612.7062300556195,494.97838720915075,191.68800540839933
11.5,711.2105257255014,623.8826344048632,505.41733380528626,207.49568608464023
12.0,725.6374200267212,635.4765895295287,515.507333138476,223.28946535926647
12.5,740.1337428646784,647.4654898820152,525.2216512196277,238.8911871357718
13.0,754.6910833620724,659.8211380241623,534.9144002765635,254.1278355823347
13.5,769.3020495721485,672.511923460655,544.835119233375,269.0079208831296
14.0,783.9601450409878,685.5049550165555,554.9750774219137,283.706687302762
14.5,798.6596603235772,698.7676624584974,565.2978395139734,298.3551316944155
15.0,813.3955776421028,712.2688009444931,576.257672977067,312.93792251650444
15.5,828.1634870943511,725.9790978445528,587.9462103905777,327.3981815528002
16.0,842.9595130129961,739.8716849969328,600.1321895925344,341.83879462415683
16.5,857.7802492460405,753.9223141868888,612.649759724671,356.37261556460714
17.0,872.6227022776729,768.1093710851558,625.4961095434555,370.9609584905038
17.5,887.4842412397098,782.4137660693418,638.6796574606348,385.531537409596
18.0,902.3625539788729,796.8187719742488,652.1419196661445,400.09489111707813
18.5,917.2556084462681,811.3098333932961,665.8142792183075,414.6921179776668
19.0,932.161618764312,825.8743702761061,679.6659982528708,429.32833041132733
19.5,947.0790154044618,840.5016497863583,693.6852483329884,443.9853483650193
20.0,962.0064189777411,855.1825818390502,707.85103213434,458.6575220718825
20.5,976.9426172004028,869.9094150858073,722.1360765226611,473.36035767847807
21.0,991.8865446500662,884.6754955653366,736.5205359983117,488.10523932859087
21.5,1006.837264974289,899.4751278047177,750.9927074244121,502.8797071199085
22.0,1021.7939552544685,914.3034603935607,765.5418714756414,517.6713182946096
22.5,1036.7522658391526,929.1604206664942,780.1560780270128,532.4824917901922
23.0,1051.6387859881017,944.0589171592043,794.8248990662553,547.3179635016188
23.5,1066.2328385022597,958.9987252829686,809.5431528174125,562.174119789748
24.0,1080.2082615320269,974.015833098324,824.3141022998117,577.0448179678151
24.5,1093.2258853928051,989.1975878221322,839.1342556028138,591.9299845556325
25.0,nan,1004.0159572559854,854.0087521842624,606.8353990462972
25.5,nan,1019.502145381053,868.8821876225095,621.7402463494599
26.0,nan,1034.9548834111129,883.7173232346274,636.6326581322734
26.5,nan,1050.3061822610762,898.6092538715799,651.5222138471438
27.0,nan,1065.3552020353245,913.5953099865073,666.4050221592711
27.5,nan,1079.7800855211885,928.7354220944562,681.3268713607608
28.0,nan,1093.2321073968108,944.113362356732,696.3168288056689
28.5,nan,nan,959.8029075594784,711.3765189850678
29.0,nan,nan,975.5272343428973,726.4020871118229
29.5,nan,nan,991.1968920933755,741.3599010130348
30.0,nan,nan,1006.7936745100558,756.3735817010956
30.5,nan,nan,1022.3205965776556,771.4851429575414
31.0,nan,nan,1037.7810067926562,786.7324916630432
31.5,nan,nan,1053.1081365657958,802.1073159764959
32.0,nan,nan,1068.078289940239,817.5965606935465
32.5,nan,nan,1082.3576496067203,833.1965410528303
33.0,nan,nan,1095.0842267683563,848.9674735658618
33.5,nan,nan,nan,864.9274312029218
34.0,nan,nan,nan,880.8440877402281
34.5,nan,nan,nan,896.6724875489045
35.0,nan,nan,nan,912.4060724397694
35.5,nan,nan,nan,928.0524170454322
36.0,nan,nan,nan,943.62089797057
36.5,nan,nan,nan,959.1206309161386
37.0,nan,nan,nan,974.5598572505862
37.5,nan,nan,nan,989.9458828506738
38.0,nan,nan,nan,1005.2851461162246
38.5,nan,nan,nan,1020.5833102275782
39.0,nan,nan,nan,1035.2328539482394
39.5,nan,nan,nan,1050.3981663095742
40.0,nan,nan,nan,1065.2632456676258
40.5,nan,nan,nan,1079.5153798197766
41.0,nan,nan,nan,1092.8110897912975
41.5,nan,nan,nan,nan
